Pakistan Stock Exchange - COMPLETELY FIXED Data
Timestamp,2025-12-17 21:34:32
Total Valid Stocks,482
Fix Applied,Complete column mapping correction - All data validated

Symbol,Sector,Listed_In,LDCP,Open,High,Low,Current,Change,Change(%),Volume
ITTEFAQ,0808,"ALLSHR,KMIALLSHR",9.32,9.44,10.32,9.3,10.32,1.0,10.73,5109490.0
BAFL,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,PSXDIV20",105.23,105.4,107.2,103.98,106.29,1.06,1.01,5101295.0
EPCL,0805,"ALLSHR,KMIALLSHR",35.61,35.7,37.15,35.4,35.52,-0.09,-0.25,5000671.0
ALTN,0824,ALLSHR,11.36,11.5,11.84,11.38,11.7,0.34,2.99,4830353.0
LOADS,0802,"ALLSHR,KMIALLSHR",18.48,18.4,19.15,18.4,18.79,0.31,1.68,4304506.0
HUBC,0824,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,PSXDIV20,UPP9",222.51,222.56,223.39,220.0,221.93,-0.58,-0.26,4294847.0
KTML,0829,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",73.47,75.0,77.8,72.5,73.35,-0.12,-0.16,4047441.0
UNITY,0810,"ACI,ALLSHR,KSE100,KSE100PR",22.12,22.15,22.32,22.02,22.09,-0.03,-0.14,3933277.0
PRL,0825,"ALLSHR,KMI30,KMIALLSHR,KSE30",36.03,36.1,36.64,35.8,36.22,0.19,0.53,3881152.0
FABL,0807,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30,PSXDIV20",89.08,90.0,91.4,89.13,89.76,0.68,0.76,3695849.0
OGDC,0820,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI,PSXDIV20",275.6,275.49,275.98,270.0,271.33,-4.27,-1.55,3611817.0
PIOC,0804,"ALLSHR,JSMFI,KMIALLSHR,KSE100,KSE100PR,MII30",403.53,399.0,417.5,399.0,415.94,12.41,3.08,3543557.0
HBL,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,NBPPGI,NITPGI,PSXDIV20,UPP9",313.14,315.99,324.4,313.1,320.63,7.49,2.39,3511411.0
TBL,0802,"ALLSHR,KMIALLSHR",12.64,12.67,12.75,12.55,12.64,0.0,0.0,3431763.0
SYS,0828,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,NBPPGI,NITPGI,UPP9",167.16,167.0,167.99,161.55,167.06,-0.1,-0.06,3395999.0
TRSM,0819,"ALLSHR,KMIALLSHR",34.29,30.86,32.9,30.86,30.86,-3.43,-10.0,3317873.0
SLGL,0833,"ALLSHR,KMIALLSHR",21.81,21.95,21.99,21.33,21.48,-0.33,-1.51,3316001.0
UBL,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,NBPPGI,NITPGI,PSXDIV20,UPP9",390.74,393.5,405.0,390.11,401.47,10.73,2.75,3288808.0
FECTC,0804,"ALLSHR,KMIALLSHR",156.2,151.0,164.48,145.2,160.68,4.48,2.87,3225437.0
IBLHL,0823,"ALLSHR,KMIALLSHR",63.82,62.8,69.2,61.7,68.37,4.55,7.13,3131713.0
FFC,0809,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,PSXDIV20,UPP9",577.6,579.01,583.0,570.89,575.22,-2.38,-0.41,3069421.0
YOUW,0831,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",5.63,5.69,5.7,5.53,5.63,0.0,0.0,2958076.0
"DFML
NC",0801,ALLSHR,23.82,24.0,24.95,23.71,24.42,0.6,2.52,2940854.0
TOMCL,0810,"ALLSHR,KMIALLSHR",51.77,51.77,52.94,51.5,52.0,0.23,0.44,2920635.0
NML,0829,"ACI,ALLSHR,KMIALLSHR,KSE100,KSE100PR",189.23,189.23,191.38,184.4,185.23,-4.0,-2.11,2913683.0
DCL,0804,"ALLSHR,KMIALLSHR",13.71,13.69,13.7,13.4,13.54,-0.17,-1.24,2793020.0
NETSOL,0828,"ALLSHR,KMIALLSHR",133.11,133.5,137.25,133.01,136.35,3.24,2.43,2734096.0
ENGROH,0813,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,UPP9",216.81,217.01,217.9,212.5,213.1,-3.71,-1.71,2669325.0
LPL,0824,ALLSHR,25.13,25.38,26.0,25.05,25.63,0.5,1.99,2596530.0
SNGP,0821,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",121.47,121.75,122.2,118.9,120.2,-1.27,-1.05,2595307.0
HMB,0807,"ALLSHR,KSE100,KSE100PR",111.57,111.25,113.5,110.0,111.58,0.01,0.01,2505608.0
GCWL,0805,"ALLSHR,KMIALLSHR",20.96,20.85,20.96,20.38,20.47,-0.49,-2.34,2451978.0
NRSL,0805,"ALLSHR,KMIALLSHR",33.99,34.5,36.7,34.49,36.32,2.33,6.86,2344953.0
TSBL,0813,ALLSHR,37.91,37.0,41.7,37.0,41.23,3.32,8.76,2341432.0
DGKC,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",242.58,242.5,244.99,238.12,241.83,-0.75,-0.31,2297067.0
WASL,0819,"ALLSHR,KMIALLSHR",6.59,6.63,6.88,6.59,6.76,0.17,2.58,2211839.0
TRG,0828,"ALLSHR,KSE100,KSE100PR",71.43,71.15,71.9,70.5,70.87,-0.56,-0.78,2104037.0
"PASL
NC",0813,ALLSHR,3.19,3.12,3.26,3.12,3.18,-0.01,-0.31,2074403.0
PICT,0833,ALLSHR,42.07,43.9,46.28,42.89,44.07,2.0,4.75,2053289.0
BAHL,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,NBPPGI,NITPGI,PSXDIV20",182.5,183.94,184.99,181.01,183.78,1.28,0.7,2021977.0
FCSC,0813,ALLSHR,6.46,6.65,6.65,6.34,6.45,-0.01,-0.15,1942827.0
